m,scenario,d,d_se_U,d_se_L
37,G,0.33777186787330604,0.3294616333773453,0.3462917170569316
38,G,0.280388365790025,0.27330587395187916,0.2876543944468718
39,G,0.2327536516448118,0.22672169736695283,0.23894608669196954
40,G,0.1932115200334809,0.18807765568186288,0.1984855209849798
41,G,0.16038713553940623,0.1560203764244639,0.16487611321069978
42,G,0.13313923125328272,0.1294271654513123,0.13695776181842817
43,G,0.11052042820703609,0.10736668850989106,0.11376680440266483
44,G,0.09174429607325404,0.08906635451207816,0.09450275480664787
45,G,0.07615800986772725,0.07388525823202959,0.07850067260776654
46,G,0.06321965195941716,0.061291734841054976,0.06520821125775536
47,G,0.05247937020428222,0.05084474020553205,0.05416655264448479
48,G,0.043563737092479404,0.042178404857883295,0.044994569990428834
49,G,0.03616276609409106,0.034989220697442966,0.03737567243592589
50,G,0.03001913377632847,0.02902541168020382,0.03104687721951305
51,G,0.024919232957358064,0.02407811624300855,0.025789732257953956
52,G,0.020685745824975923,0.019974072657417033,0.021422775799136633
53,G,0.017171478795825455,0.016569551143338298,0.017795272876418928
54,G,0.014254244760151231,0.013745320235918637,0.014782012364568227
55,G,0.011832614773498397,0.011402471120282231,0.012278985046405212
56,G,0.009822391486459022,0.009458953696045408,0.010199793509254504
57,G,0.008153681697586259,0.007846703059373019,0.008472669950997925
58,G,0.006768466245435727,0.006509255767655925,0.007037998958842646
59,G,0.005618582747615057,0.005399772404812714,0.005846259754144683
60,G,0.00466405104894858,0.004479397194477875,0.004856316875408054
1,N,145.64600896645695,145.3774286244996,145.9150855023611
2,N,64.06438610683486,63.82832649930541,64.30131874584364
3,N,28.179595145589218,28.023987645461467,28.336066680286315
4,N,12.395179768757615,12.30400241750852,12.487032778958874
5,N,5.452189100164076,5.402103276853721,5.502739296250759
6,N,2.398219835332607,2.3718070611126385,2.4249267458899864
7,N,1.0548897466541796,1.0413478689396973,1.068607725417605
8,N,0.4640076615168959,0.4572064068468294,0.47091008945224166
9,N,0.2041001067924497,0.20073762543407436,0.20751891182637416
10,N,0.08977621933333649,0.08813436045836157,0.09144866446946216
11,N,0.03948929613242856,0.038695613124881935,0.040299258316491546
12,N,0.017369906202494574,0.016989406484862926,0.01775892770311183
13,N,0.007640390461041748,0.0074592417434084304,0.007825938400342495
14,N,0.003360730087810961,0.0032749988904074334,0.0034487055113819496
15,N,0.001478263026046691,0.0014378965183221067,0.001519762755060237
16,N,6.502341803950438e-4,6.313120909624548e-4,6.697234147843368e-4
